 Data acquisition complete.
Iteration 0: 12.500000000000000000
Iter-snap-sum 0:   0.2236125000E+06
Iteration 25: 0.462084361285199918
Iter-snap-sum 25:   0.8297997594E+06
Iteration 50: 0.240726501366651746
Iter-snap-sum 50:   0.1146921588E+07
Iteration 75: 0.185892383221728963
Iter-snap-sum 75:   0.1392006942E+07
Iteration 100: 0.178922556729986582
Iter-snap-sum 100:   0.1598800396E+07
Iteration 125: 0.164380762673401293
Iter-snap-sum 125:   0.1780640834E+07
Iteration 150: 0.147499805836595499
Iter-snap-sum 150:   0.1944425859E+07
Iteration 175: 0.131226701923672806
Iter-snap-sum 175:   0.2094295263E+07
Iteration 200: 0.116380775686884874
Iter-snap-sum 200:   0.2232986756E+07
Iteration 225: 0.103092966268828690
Iter-snap-sum 225:   0.2362436461E+07
Iteration 250: 0.091282119939318562
Iter-snap-sum 250:   0.2484081248E+07
Iteration 275: 0.080811074943639483
Iter-snap-sum 275:   0.2599026416E+07
Iteration 300: 0.071536761600711429
Iter-snap-sum 300:   0.2708145938E+07
Iteration 325: 0.063325356527514032
Iter-snap-sum 325:   0.2812146043E+07
Iteration 350: 0.056056019697074078
Iter-snap-sum 350:   0.2911607497E+07
Iteration 375: 0.049620994587733946
Iter-snap-sum 375:   0.3007014819E+07
Iteration 400: 0.043924633479271336
Iter-snap-sum 400:   0.3098777124E+07
Iteration 425: 0.038882182161430023
Iter-snap-sum 425:   0.3187243401E+07
Iteration 450: 0.034418587314910098
Iter-snap-sum 450:   0.3272713966E+07
Iteration 475: 0.030467402072211769
Iter-snap-sum 475:   0.3355449227E+07
Iteration 500: 0.026969804379632478
Iter-snap-sum 500:   0.3435676495E+07
Iteration 525: 0.023873723793712998
Iter-snap-sum 525:   0.3513595376E+07
Iteration 550: 0.021948941319793747
Iter-snap-sum 550:   0.3589382074E+07
Iteration 575: 0.021008447777152384
Iter-snap-sum 575:   0.3663192890E+07
Iteration 600: 0.020127312395885610
Iter-snap-sum 600:   0.3735167071E+07
Iteration 625: 0.019326778866657790
Iter-snap-sum 625:   0.3805429172E+07
Iteration 650: 0.018591260375583119
Iter-snap-sum 650:   0.3874091022E+07
Iteration 675: 0.017897562856681759
Iter-snap-sum 675:   0.3941253366E+07
Iteration 700: 0.017267797295273724
Iter-snap-sum 700:   0.4007007262E+07
Iteration 725: 0.016680126920245897
Iter-snap-sum 725:   0.4071435259E+07
Iteration 750: 0.016123017930372185
Iter-snap-sum 750:   0.4134612406E+07
Iteration 775: 0.015616106097697369
Iter-snap-sum 775:   0.4196607117E+07
Iteration 800: 0.015139293924296027
Iter-snap-sum 800:   0.4257481921E+07
Iteration 825: 0.014685523919293786
Iter-snap-sum 825:   0.4317294102E+07
Iteration 850: 0.014271987547658682
Iter-snap-sum 850:   0.4376096265E+07
Iteration 875: 0.013881090259385331
Iter-snap-sum 875:   0.4433936822E+07
Iteration 900: 0.013507995332393108
Iter-snap-sum 900:   0.4490860422E+07
Iteration 925: 0.013169082977631419
Iter-snap-sum 925:   0.4546908323E+07
Iteration 950: 0.012846525790426000
Iter-snap-sum 950:   0.4602118728E+07
Iteration 975: 0.012539857662877907
Iter-snap-sum 975:   0.4656527068E+07
Iteration 1000: 0.012261150115147501
Iter-snap-sum 1000:   0.4710166268E+07
Iteration 1025: 0.011993955890613250
Iter-snap-sum 1025:   0.4763066972E+07
Iteration 1050: 0.011745187654609524
Iter-snap-sum 1050:   0.4815257746E+07
Iteration 1075: 0.011514202940141161
Iter-snap-sum 1075:   0.4866765259E+07
Iteration 1100: 0.011292875378170919
Iter-snap-sum 1100:   0.4917614447E+07
